node3dId;physicalPositionId;levelId;x_mm;y_mm;z_relative_m;absoluteZ_m;aliases;structuralRole;chainMembership;levelPresence;evidenceRefs;derivationRule;epistemicStatus
N3D-0121;N045;G1;36772.0;7790.7;0.0;ND;N045;LINE;N045;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0122;N045;G2;36772.0;7790.7;3.2;ND;N045;LINE;N045;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0123;N045;G3;36772.0;7790.7;6.4;ND;N045;LINE;N045;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0124;N045;G4;36772.0;7790.7;9.6;ND;N045;LINE;N045;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0125;N045;G5;36772.0;7790.7;12.8;ND;N045;LINE;N045;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0126;N002;G1;36762.2;12303.2;0.0;ND;N002|N002|N110;;N002;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0127;N002;G2;36762.2;12303.2;3.2;ND;N002|N002|N110;;N002;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0128;N002;G3;36762.2;12303.2;6.4;ND;N002|N002|N110;;N002;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0129;N002;G4;36762.2;12303.2;9.6;ND;N002|N002|N110;;N002;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
N3D-0130;N002;G5;36762.2;12303.2;12.8;ND;N002|N002|N110;;N002;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;INF
