node3dId;physicalPositionId;levelId;x_mm;y_mm;z_relative_m;absoluteZ_m;aliases;structuralRole;chainMembership;levelPresence;evidenceRefs;derivationRule;epistemicStatus
N3D-0028;N007;G3;31775.0;5536.1;6.4;ND;N007;LINE;N007;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0029;N007;G4;31775.0;5536.1;9.6;ND;N007;LINE;N007;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0030;N007;G5;31775.0;5536.1;12.8;ND;N007;LINE;N007;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0031;N008;G1;31709.7;12151.3;0.0;ND;N008;TERM;N008;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0032;N008;G2;31709.7;12151.3;3.2;ND;N008;TERM;N008;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0033;N008;G3;31709.7;12151.3;6.4;ND;N008;TERM;N008;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0034;N008;G4;31709.7;12151.3;9.6;ND;N008;TERM;N008;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0035;N008;G5;31709.7;12151.3;12.8;ND;N008;TERM;N008;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0036;N009;G1;8485.1;10543.7;0.0;ND;N009;TERM;N009;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0037;N009;G2;8485.1;10543.7;3.2;ND;N009;TERM;N009;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0038;N009;G3;8485.1;10543.7;6.4;ND;N009;TERM;N009;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0039;N009;G4;8485.1;10543.7;9.6;ND;N009;TERM;N009;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
