support_id,x_center_m,y_center_m,x_min_m,x_max_m,y_min_m,y_max_m,width_x_m,height_y_m,metric_center_evidence,geometry_status,center_is_analytical_node,source
24,5.0000,28.1000,4.8000,5.2000,27.8500,28.3500,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
25,3.4500,8.9500,3.2000,3.7000,8.7500,9.1500,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
26,3.4500,15.2000,3.2000,3.7000,15.0000,15.4000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
27,3.4500,19.2800,3.2000,3.7000,19.0800,19.4800,0.5000,0.4000,SUPPORTED_MIS_SHARED_ROW,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
28,0.0000,8.9500,-0.2500,0.2500,8.7500,9.1500,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
29,0.0000,15.2000,-0.2500,0.2500,15.0000,15.4000,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
30,0.0000,19.7334,-0.1500,0.1500,19.1834,20.2834,0.3000,1.1000,SUPPORTED_REFERENCE_PLUS_MIS_EXTENDED,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
31,-4.7000,8.9500,-4.9500,-4.4500,8.7500,9.1500,0.5000,0.4000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
32,-4.7000,15.2000,-4.9000,-4.5000,14.9500,15.4500,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
33,-4.7000,20.1500,-4.9000,-4.5000,19.9000,20.4000,0.4000,0.5000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
a,3.4500,0.0000,3.3000,3.6000,-0.1500,0.1500,0.3000,0.3000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
b,3.4500,4.7000,3.3000,3.6000,4.5500,4.8500,0.3000,0.3000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
c,0.0000,0.0000,-0.1500,0.1500,-0.1500,0.1500,0.3000,0.3000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
d,0.0000,4.7000,-0.1500,0.1500,4.5500,4.8500,0.3000,0.3000,DOC_METRIC_OR_AXIS,CURRENT_PHYSICAL_VECTOR,NO,PT_METRIC_SUPPORT_FOOTPRINTS_v1.csv
