node_id,support_id,x_m,y_m,face_ref,attached_beams,beam_count,support_metric_evidence,node_evidence_status,node_role
AN-046,32,-4.7000,14.9500,NORTH,B-023,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-047,32,-4.7000,15.4500,SOUTH,B-024,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-048,33,-4.7000,19.9000,NORTH,B-024,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-049,28,0.0000,9.1500,SOUTH,B-025,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-050,29,0.0000,15.0000,NORTH,B-025,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-051,29,0.0000,15.4000,SOUTH,B-026,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-052,30,0.0000,19.1834,NORTH,B-026,1,SUPPORTED_REFERENCE_PLUS_MIS_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-053,25,3.4500,9.1500,SOUTH,B-027,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-054,26,3.4500,15.0000,NORTH,B-027,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-055,26,3.4500,15.4000,SOUTH,B-028,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-056,27,3.4500,19.0800,NORTH,B-028,1,SUPPORTED_MIS_SHARED_ROW,WATCH,BEAM_TO_SUPPORT_FACE
AN-057,21,5.5500,15.4500,SOUTH,B-030,1,SUPPORTED_REFERENCE_REBOUND,PASS,BEAM_TO_SUPPORT_FACE
AN-058,22,5.5500,17.9000,NORTH,B-030,1,SUPPORTED_REFERENCE_REBOUND,PASS,BEAM_TO_SUPPORT_FACE
AN-059,23,5.7789,23.4000,EAST,B-031,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-060,15,11.2000,23.4000,WEST,B-031,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-061,15,11.7000,23.4000,EAST,B-032,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-062,7,15.8500,23.4000,WEST,B-032,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-063,24,5.2000,28.1000,EAST,B-033,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-064,16,11.2000,28.1000,WEST,B-033,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-065,16,11.7000,28.1000,EAST,B-034,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-066,8,15.9000,28.1000,WEST,B-034,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-067,23,5.0000,23.5500,SOUTH,B-035,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-068,24,5.0000,27.8500,NORTH,B-035,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-069,15,11.4500,23.6000,SOUTH,B-036,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-070,16,11.4500,27.9000,NORTH,B-036,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-071,18,7.7740,4.7000,EAST,B-038,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-072,10,12.1500,4.7000,WEST,B-038,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-073,10,12.6500,4.7000,EAST,B-039,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-074,2,17.7500,4.7000,WEST,B-039,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-075,20,7.8818,9.8000,EAST,B-040,1,MIS_AFFINE_WATCH,WATCH,BEAM_TO_SUPPORT_FACE
AN-076,11,12.1500,9.8000,WEST,B-040,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-077,11,12.6500,9.8000,EAST,B-041,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-078,3,17.7000,9.8000,WEST,B-041,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-079,9,12.4000,0.2500,SOUTH,B-042,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-080,10,12.4000,4.5000,NORTH,B-042,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-081,10,12.4000,4.9000,SOUTH,B-043,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-082,11,12.4000,9.6000,NORTH,B-043,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-083,14,11.7000,18.1000,EAST,B-045,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-084,6,15.8500,18.1000,WEST,B-045,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-085,14,11.4500,18.3000,SOUTH,B-046,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-086,15,11.4500,23.2000,NORTH,B-046,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-087,22,5.5500,18.3000,SOUTH,B-047,1,SUPPORTED_REFERENCE_REBOUND,WATCH,BEAM_TO_SUPPORT_FACE
AN-088,22',5.5500,19.0800,NORTH,B-047,1,SUPPORTED_REFERENCE_PLUS_MIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-089,11,12.4000,10.0000,SOUTH,B-048,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-090,12,12.4000,12.8225,NORTH,B-048,1,MIS_AFFINE,WATCH,BEAM_TO_SUPPORT_FACE
AN-091,12,12.2884,13.3225,SOUTH,B-049,1,MIS_AFFINE,WATCH,BEAM_TO_SUPPORT_FACE
AN-092,13,11.5393,15.0000,NORTH,B-049,1,DOC_METRIC_OR_AXIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-093,13,11.4500,15.4000,SOUTH,B-050,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-094,14,11.4500,17.9000,NORTH,B-050,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-095,20,7.5547,10.0000,SOUTH,B-051,1,MIS_AFFINE_WATCH,WATCH,BEAM_TO_SUPPORT_FACE
AN-096,21,5.6464,14.9500,NORTH,B-051,1,SUPPORTED_REFERENCE_REBOUND,PASS,BEAM_TO_SUPPORT_FACE
AN-097,19,7.6318,9.2000,SOUTH,B-052,1,MIS_AFFINE_WATCH,WATCH,BEAM_TO_SUPPORT_FACE
AN-098,20,7.6318,9.6000,NORTH,B-052,1,MIS_AFFINE_WATCH,WATCH,BEAM_TO_SUPPORT_FACE
AN-099,18,7.2384,4.8500,SOUTH,B-053,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-100,19,7.6078,8.7000,NORTH,B-053,1,MIS_AFFINE_WATCH,WATCH,BEAM_TO_SUPPORT_FACE
AN-101,23,5.2406,23.2500,NORTH,B-054,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
AN-102,22',5.5344,19.4800,SOUTH,B-054,1,SUPPORTED_REFERENCE_PLUS_MIS,WATCH,BEAM_TO_SUPPORT_FACE
AN-103,17,6.9138,0.2000,SOUTH,B-055,1,DOC_METRIC_OR_AXIS,PASS,BEAM_TO_SUPPORT_FACE
AN-104,18,7.2137,4.5500,NORTH,B-055,1,MIS_AFFINE_EXTENDED,WATCH,BEAM_TO_SUPPORT_FACE
