foundation_member_id,from_foundation_node_id,to_foundation_node_id,z_from_symbol,z_to_symbol,numeric_z_state,topology_source,current_state,note
FND-B034,FND-N-A,FND-N-C,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B035,FND-N-002,FND-N-010,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B036,FND-N-010,FND-N-018,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B037,FND-N-018,FND-N-B,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B038,FND-N-B,FND-N-D,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B039,FND-N-003,FND-N-011,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B040,FND-N-011,FND-N-020,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B041,FND-N-004,FND-N-005,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B042,FND-N-005,FND-N-012,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B043,FND-N-006,FND-N-014,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B044,FND-N-014,FND-N-022,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B045,FND-N-007,FND-N-015,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B046,FND-N-015,FND-N-023,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B047,FND-N-008,FND-N-016,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B048,FND-N-016,FND-N-024,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B049,FND-N-013,FND-N-021,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B050,FND-N-021,FND-N-026,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B051,FND-N-026,FND-N-029,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B052,FND-N-029,FND-N-032,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B053,FND-N-022P,FND-N-027,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,"Physical path preserves distinct 22-prime support."
FND-B054,FND-N-027,FND-N-030,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B055,FND-N-030,FND-N-033,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B056,FND-N-019,FND-N-025,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B057,FND-N-025,FND-N-028,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
FND-B058,FND-N-028,FND-N-031,ZF_COMMON,ZF_COMMON,ND,M1F_FOUNDATION_TOPOLOGY_CURRENT_v1.csv,CURRENT_SYMBOLIC_3D,
