n1;n2;x1_mm;y1_mm;x2_mm;y2_mm;len_mm;match_quality;evidence_status;source
N016;;33106.9;9659.7;36500.9;9625.7;3394.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N016;N042;33106.9;9659.7;36772.0;9707.4;3665.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N049;N111;31732.6;9638.8;25945.2;9651.8;5787.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N049;N112;31732.6;9638.8;26193.4;9651.8;5539.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N017;N035;28738.3;19447.4;28727.8;20662.0;1215.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N018;N035;28708.2;25677.3;28727.8;20662.0;5015.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N028;N040;37862.9;19630.2;33999.2;19604.1;3864.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N035;N061;28727.8;20662.0;28636.4;25938.5;5277.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N019;N028;37768.1;23966.4;37862.9;19630.2;4337.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N028;N047;37862.9;19630.2;37837.8;18428.6;1202.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N019;N064;37768.1;23966.4;35233.7;23953.3;2534.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N019;N102;37768.1;23966.4;42794.5;23992.5;5026.0;HIGH;INF;TAV5_CARPENTERIA.dxf
;N059;7812.3;1328.9;7812.3;1939.5;611.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
;N073;7812.3;1328.9;13096.7;1358.3;5284.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
;N081;7812.3;1328.9;7812.3;98.0;1231.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N021;N069;26232.6;2847.2;31771.7;2873.4;5539.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N021;N113;26232.6;2847.2;26219.5;5501.8;2655.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N070;N112;26167.3;11284.4;26193.4;9651.8;1633.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N096;N113;26206.5;7314.0;26219.5;5501.8;1812.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N022;N057;25971.3;2847.2;25962.6;5570.4;2723.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N022;N069;25971.3;2847.2;31771.7;2873.4;5800.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N057;N111;25962.6;5570.4;25945.2;9651.8;4081.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N024;N026;41004.8;12616.6;41004.8;13152.1;536.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N026;N080;41004.8;13152.1;41034.1;18454.7;5303.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N025;N027;40694.5;12616.6;40694.5;13152.1;536.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N027;N078;40694.5;13152.1;40537.7;19643.3;6493.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N026;N077;41004.8;13152.1;36500.9;13139.1;4504.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N027;N077;40694.5;13152.1;36500.9;13139.1;4194.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N027;N090;40694.5;13152.1;40694.5;12355.4;797.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N028;N078;37862.9;19630.2;40537.7;19643.3;2675.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N039;N078;42882.7;19643.3;40537.7;19643.3;2345.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N047;N085;37837.8;18428.6;37813.9;13383.9;5045.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N078;N106;40537.7;19643.3;43248.5;19666.1;2711.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N029;N039;42871.3;23731.3;42882.7;19643.3;4088.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N029;N105;42871.3;23731.3;45397.5;23757.4;2526.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N032;N055;8485.1;10265.7;8485.1;10849.1;583.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N031;N080;42882.7;18454.7;41034.1;18454.7;1849.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N041;N109;33999.2;18402.5;32725.4;18402.5;1274.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N047;N080;37837.8;18428.6;41034.1;18454.7;3196.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N039;N102;42882.7;19643.3;42794.5;23992.5;4350.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N033;N050;36500.9;13382.3;35756.3;13422.0;746.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N033;N051;36500.9;13382.3;35272.9;13422.0;1229.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N034;N085;36749.1;13382.3;37813.9;13383.9;1065.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N034;N002;36749.1;13382.3;36762.2;12303.2;1079.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N042;N088;36772.0;9707.4;36775.3;10840.4;1133.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N042;N045;36772.0;9707.4;36772.0;7790.7;1917.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N034;N050;36749.1;13382.3;35756.3;13422.0;994.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N040;N041;33999.2;19604.1;33999.2;18402.5;1202.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N044;N114;37363.2;5554.1;37337.0;7470.7;1917.0;HIGH;INF;TAV5_CARPENTERIA.dxf
