memberId;node3d_1;node3d_2;levelId;physicalPos1;physicalPos2;length_mm;quality;evidenceRefs;epistemicStatus
HM-0055;N3D-0024;N3D-0119;G4;N006;N044;4203.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0056;N3D-0044;N3D-0089;G4;N010;N031;5838.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0058;N3D-0049;N3D-0099;G4;N011;N035;4938.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0059;N3D-0064;N3D-0069;G4;N014;N015;4413.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0060;N3D-0069;N3D-0079;G4;N015;N017;4915.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0061;N3D-0074;N3D-0114;G4;N016;N042;3665.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0062;N3D-0079;N3D-0099;G4;N017;N035;1215.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0063;N3D-0084;N3D-0109;G4;N028;N040;3864.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0064;N3D-0114;N3D-0124;G4;N042;N045;1917.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0065;N3D-0005;N3D-0035;G5;N001;N008;1376.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0067;N3D-0010;N3D-0050;G5;N003;N011;5024.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0068;N3D-0050;N3D-0070;G5;N011;N015;1193.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0069;N3D-0060;N3D-0125;G5;N013;N045;841.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0070;N3D-0025;N3D-0030;G5;N006;N007;1385.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0071;N3D-0025;N3D-0120;G5;N006;N044;4203.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0072;N3D-0045;N3D-0090;G5;N010;N031;5838.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0074;N3D-0050;N3D-0100;G5;N011;N035;4938.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0075;N3D-0065;N3D-0070;G5;N014;N015;4413.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0076;N3D-0070;N3D-0080;G5;N015;N017;4915.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0077;N3D-0075;N3D-0115;G5;N016;N042;3665.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0078;N3D-0080;N3D-0100;G5;N017;N035;1215.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0079;N3D-0085;N3D-0110;G5;N028;N040;3864.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
HM-0080;N3D-0115;N3D-0125;G5;N042;N045;1917.0;CANONICAL;TAV5_CARPENTERIA.dxf;DOC
