handle;layer;type;text;x;y
E72;S-ELEM-ID-VER;TEXT;T?019;22102.699999999997;14975.7
E73;S-ELEM-ID-VER;TEXT;T?020;21697.05;19501.25
E74;S-ELEM-ID-VER;TEXT;T?021;19485.3;20089.0
E75;S-ELEM-ID-VER;TEXT;T?022;26360.949999999997;19520.85
E76;S-ELEM-ID-VER;TEXT;T?023;32499.75;9729.25
E77;S-ELEM-ID-VER;TEXT;T?024;34883.9;9722.7
E78;S-ELEM-ID-VER;TEXT;T?025;35019.45;9763.55
E79;S-ELEM-ID-VER;TEXT;T?026;28813.05;20134.7
E7A;S-ELEM-ID-VER;TEXT;T?027;28798.0;23249.65
E7B;S-ELEM-ID-VER;TEXT;T?028;36011.05;19697.15
E7C;S-ELEM-ID-VER;TEXT;T?029;37895.5;21878.300000000003
E7D;S-ELEM-ID-VER;TEXT;T?030;37930.350000000006;19109.4
E7E;S-ELEM-ID-VER;TEXT;T?031;26046.949999999997;4288.799999999999
E7F;S-ELEM-ID-VER;TEXT;T?032;42957.0;21767.3
E80;S-ELEM-ID-VER;TEXT;T?033;35966.9;13482.15
E81;S-ELEM-ID-VER;TEXT;T?034;36852.0;8829.05
E82;S-ELEM-ID-VER;TEXT;T?035;36332.7;13482.15
E83;S-ELEM-ID-VER;TEXT;T?036;34079.2;19083.3
E84;S-ELEM-ID-VER;TEXT;T?037;37436.649999999994;6727.35
E85;S-ELEM-ID-VER;TEXT;T?038;22147.3;14714.5
E86;S-CHECK-VER;TEXT;P? / T? = CODICI DI LAVORO, NON SIGLE ORIGINALI. Diventano P/T solo dopo riscontro con TAV.5 e TAV.7/TAV.6.;1800.0;2600.0
E8C;S-VERIFY-TEXT;TEXT;N001 [A];33254.7;12380.4
E8E;S-VERIFY-TEXT;TEXT;N002 [A];36670.9;12403.9
E90;S-VERIFY-TEXT;TEXT;N005 [A];36680.7;8009.7
E92;S-VERIFY-TEXT;TEXT;N006 [A];33329.8;5706.1
E94;S-VERIFY-TEXT;TEXT;N007 [A];31945.0;5706.1
E96;S-VERIFY-TEXT;TEXT;N003 [A];23946.6;25821.2
E98;S-VERIFY-TEXT;TEXT;N008 [A];31879.7;12321.3
E9A;S-VERIFY-TEXT;TEXT;N004 [A];31700.1;23849.0
E9C;S-VERIFY-TEXT;TEXT;N009 [A];8655.1;10713.7
E9E;S-VERIFY-TEXT;TEXT;N010 [A];43059.2;12786.6
EA0;S-VERIFY-TEXT;TEXT;N011 [A];23959.6;20797.2
EA2;S-VERIFY-TEXT;TEXT;N012 [A];22237.3;14654.3
EA4;S-VERIFY-TEXT;TEXT;N013 [A];37781.4;7910.6
EA6;S-VERIFY-TEXT;TEXT;N015 [A];23993.6;19604.3
EA8;S-VERIFY-TEXT;TEXT;N016 [A];33276.9;9829.7
EAA;S-VERIFY-TEXT;TEXT;N014 [A];19580.5;19578.2
EAC;S-VERIFY-TEXT;TEXT;N017 [A];28908.3;19617.4
EAE;S-VERIFY-TEXT;TEXT;N028 [A];38032.9;19800.2
EB0;S-VERIFY-TEXT;TEXT;N035 [A];28897.8;20832.0
EB2;S-VERIFY-TEXT;TEXT;N031 [A];43052.7;18624.7
EB4;S-VERIFY-TEXT;TEXT;N033 [A];36670.9;13552.3
EB6;S-VERIFY-TEXT;TEXT;N039 [A];43052.7;19813.3
EB8;S-VERIFY-TEXT;TEXT;N040 [A];34169.2;19774.1
EBA;S-VERIFY-TEXT;TEXT;N042 [A];36670.9;9795.7
EBC;S-VERIFY-TEXT;TEXT;N043 [A];36942.0;9877.4
EBE;S-VERIFY-TEXT;TEXT;N044 [A];37533.2;5724.1
EC0;S-VERIFY-TEXT;TEXT;N045 [A];36942.0;7960.7
EC2;S-VERIFY-TEXT;TEXT;N018 [B];28878.2;25847.3
EC4;S-VERIFY-TEXT;TEXT;N019 [B];37938.1;24136.4
EC6;S-VERIFY-TEXT;TEXT;N022 [B];26141.3;3017.2
EC8;S-VERIFY-TEXT;TEXT;N024 [B];41174.8;12786.6
ECA;S-VERIFY-TEXT;TEXT;N025 [B];40864.5;12786.6
ECC;S-VERIFY-TEXT;TEXT;N029 [B];43041.3;23901.3
ECE;S-VERIFY-TEXT;TEXT;N030 [B];8655.1;9567.2
ED0;S-VERIFY-TEXT;TEXT;N034 [B];36919.1;13552.3
ED2;S-VERIFY-TEXT;TEXT;N036 [B];19570.1;20779.8
