handle;layer;type;text;x;y
A61;S-ID-CAND-INF;TEXT;N063;27476.098522167485;25784.24802110818
A63;S-ID-CAND-INF;TEXT;N064;35353.71428571429;24073.2981530343
A65;S-ID-CAND-INF;TEXT;N065;26091.310344827587;2745.197889182058
A67;S-ID-CAND-INF;TEXT;N066;35353.71428571429;23812.08443271768
A69;S-ID-CAND-INF;TEXT;N067;31258.137931034482;23812.08443271768
A6B;S-ID-CAND-INF;TEXT;N068;45177.87192118226;25131.21372031662
A6D;S-ID-CAND-INF;TEXT;N069;31891.74384236453;2993.35092348285
A6F;S-ID-CAND-INF;TEXT;N070;26287.27093596059;11404.4327176781
A71;S-ID-CAND-INF;TEXT;N071;31819.89162561576;11430.554089709762
A73;S-ID-CAND-INF;TEXT;N072;31852.55172413793;10921.187335092349
A75;S-ID-CAND-INF;TEXT;N073;13216.699507389163;1478.311345646438
A77;S-ID-CAND-INF;TEXT;N074;45824.541871921174;12749.683377308707
A79;S-ID-CAND-INF;TEXT;N075;45569.793103448275;12749.683377308707
A7B;S-ID-CAND-INF;TEXT;N076;13197.103448275862;5732.82981530343
A7D;S-ID-CAND-INF;TEXT;N077;36620.92610837438;13259.05013192612
A7F;S-ID-CAND-INF;TEXT;N078;40657.71428571428;19763.271767810023
A81;S-ID-CAND-INF;TEXT;N079;22354.995073891623;20742.82321899736
A83;S-ID-CAND-INF;TEXT;N080;41154.14778325123;18574.74934036939
A85;S-ID-CAND-INF;TEXT;N081;7932.295566502463;217.95514511873353
A87;S-ID-CAND-INF;TEXT;N082;34484.95566502463;7499.287598944591
A89;S-ID-CAND-INF;TEXT;N083;33279.79802955665;7499.287598944591
A8B;S-ID-CAND-INF;TEXT;N084;36640.52216748768;7545.0
A8D;S-ID-CAND-INF;TEXT;N085;37933.862068965514;13503.937994722954
A8F;S-ID-CAND-INF;TEXT;N086;34484.95566502463;10947.30870712401
A91;S-ID-CAND-INF;TEXT;N087;36620.92610837438;10960.369393139841
A93;S-ID-CAND-INF;TEXT;N088;36895.27093596059;10960.369393139841
A95;S-ID-CAND-INF;TEXT;N089;33224.275862068964;10947.30870712401
A97;S-ID-CAND-INF;TEXT;N090;40814.482758620696;12475.408970976252
A99;S-ID-CAND-INF;TEXT;N091;34484.95566502463;7995.5936675461735
A9B;S-ID-CAND-INF;TEXT;N092;34478.423645320196;11453.410290237465
A9D;S-ID-CAND-INF;TEXT;N093;33204.67980295567;11456.675461741424
A9F;S-ID-CAND-INF;TEXT;N094;19428.650246305417;26019.34036939314
AA1;S-ID-CAND-INF;TEXT;N095;13216.699507389163;2882.335092348285
AA3;S-ID-CAND-INF;TEXT;N096;26326.463054187192;7433.984168865435
AA5;S-ID-CAND-INF;TEXT;N097;22325.600985221674;15427.12401055409
AA7;S-ID-CAND-INF;TEXT;N098;23893.285714285714;15427.12401055409
AA9;S-ID-CAND-INF;TEXT;N099;23876.95566502463;15172.440633245384
AAB;S-ID-CAND-INF;TEXT;N100;26012.926108374384;15178.970976253298
AAD;S-ID-CAND-INF;TEXT;N101;26274.206896551725;15178.970976253298
AAF;S-ID-CAND-INF;TEXT;N102;42914.52709359606;24112.480211081795
AB1;S-ID-CAND-INF;TEXT;N103;26012.926108374384;15440.18469656992
AB3;S-ID-CAND-INF;TEXT;N104;26274.206896551725;15440.18469656992
AB5;S-ID-CAND-INF;TEXT;N105;45517.53694581281;23877.387862796833
AB7;S-ID-CAND-INF;TEXT;N106;43368.50246305419;19786.127968337732
AB9;S-ID-CAND-INF;TEXT;N107;7932.295566502463;1687.2823218997362
ABB;S-ID-CAND-INF;TEXT;N108;17429.852216748768;20729.762532981527
ABD;S-ID-CAND-INF;TEXT;N109;32845.41871921182;18522.50659630607
ABF;S-ID-CAND-INF;TEXT;N110;36882.206896551725;12423.166226912928
AC1;S-ID-CAND-INF;TEXT;N111;26065.18226600985;9771.84696569921
AC3;S-ID-CAND-INF;TEXT;N112;26313.399014778326;9771.84696569921
AC5;S-ID-CAND-INF;TEXT;N113;26339.527093596058;5621.813984168865
AC7;S-ID-CAND-INF;TEXT;N114;37457.02463054187;7590.712401055409
AC9;S-ID-CAND-INF;TEXT;N115;37731.36945812807;7590.712401055409
ACB;S-ID-CAND-INF;TEXT;N116;45569.793103448275;12488.469656992085
ACD;S-ID-CAND-INF;TEXT;C001 ~1.38m;32397.18472906404;12180.88555408971
ACF;S-ID-CAND-INF;TEXT;C002 ~3.42m;34792.80295566503;12222.189973614775
AD1;S-ID-CAND-INF;TEXT;C003 ~0.87m;33084.67980295567;11773.555408970977
AD3;S-ID-CAND-INF;TEXT;C004 ~1.84m;33159.79802955665;6457.692941952507
AD5;S-ID-CAND-INF;TEXT;C005 ~1.17m;33105.58226600985;10243.496042216359
AD7;S-ID-CAND-INF;TEXT;C006 ~0.51m;33094.47783251232;11081.992084432717
AD9;S-ID-CAND-INF;TEXT;C007 ~3.93m;38728.34482758621;12329.28759894459
ADB;S-ID-CAND-INF;TEXT;C008 ~3.68m;34923.443349753696;12256.800791556729
ADD;S-ID-CAND-INF;TEXT;C009 ~0.91m;36500.92610837438;12686.497361477572
ADF;S-ID-CAND-INF;TEXT;C010 ~1.79m;36505.8251231527;8732.701187335093
AE1;S-ID-CAND-INF;TEXT;C011 ~1.15m;36500.92610837438;12808.125
AE3;S-ID-CAND-INF;TEXT;C012 ~1.21m;36500.92610837438;10233.047493403694
AE5;S-ID-CAND-INF;TEXT;C013 ~2.20m;36510.72413793103;8525.362796833773
AE7;S-ID-CAND-INF;TEXT;C014 ~4.76m;43072.137931034486;12361.939313984169
AE9;S-ID-CAND-INF;TEXT;C015 ~5.02m;23783.083743842362;23139.182058047496
AEB;S-ID-CAND-INF;TEXT;C016 ~1.19m;23806.599014778323;20030.738786279682
AED;S-ID-CAND-INF;TEXT;C017 ~3.58m;25566.32512315271;25657.717678100264
AEF;S-ID-CAND-INF;TEXT;C018 ~1.35m;28032.162561576355;25670.778364116093
AF1;S-ID-CAND-INF;TEXT;C019 ~3.70m;33381.88669950739;23685.55408970976
AF3;S-ID-CAND-INF;TEXT;C020 ~0.85m;36930.406403940884;7790.1550131926115
AF5;S-ID-CAND-INF;TEXT;C021 ~0.84m;37191.68719211823;7765.666226912928
AF7;S-ID-CAND-INF;TEXT;C022 ~0.58m;37061.04679802956;7765.666226912928
AF9;S-ID-CAND-INF;TEXT;C023 ~2.15m;35437.839901477826;7857.635224274405
AFB;S-ID-CAND-INF;TEXT;C024 ~1.38m;32467.4039408867;5536.0982849604225
AFD;S-ID-CAND-INF;TEXT;C025 ~4.20m;35261.47536945813;5545.077506596306
AFF;S-ID-CAND-INF;TEXT;C026 ~5.81m;28868.80541871921;5553.2404353562015
B01;S-ID-CAND-INF;TEXT;C027 ~5.56m;28997.268472906402;5518.956134564643
B03;S-ID-CAND-INF;TEXT;C028 ~2.66m;31773.376847290638;4204.724604221636
B05;S-ID-CAND-INF;TEXT;C029 ~0.84m;31704.790640394087;11730.944920844326
B07;S-ID-CAND-INF;TEXT;C030 ~1.16m;31732.55172413793;10219.986807387864
B09;S-ID-CAND-INF;TEXT;C031 ~0.51m;31716.221674876848;11055.870712401054
B0B;S-ID-CAND-INF;TEXT;C032 ~0.89m;8485.093596059112;10099.952883528082
B0D;S-ID-CAND-INF;TEXT;C033 ~0.81m;8485.093596059112;8991.193931398418
B0F;S-ID-CAND-INF;TEXT;C034 ~0.53m;8485.093596059112;8849.975263852244
B11;S-ID-CAND-INF;TEXT;C035 ~0.54m;8485.093596059112;9385.46339050132
B13;S-ID-CAND-INF;TEXT;C036 ~1.88m;41946.99753694581;12616.622691292876
B15;S-ID-CAND-INF;TEXT;C037 ~2.19m;41791.86206896552;12616.622691292876
B17;S-ID-CAND-INF;TEXT;C038 ~5.84m;42885.97536945813;15535.686015831134
B19;S-ID-CAND-INF;TEXT;C039 ~1.19m;42882.70935960591;19049.010554089706
B1B;S-ID-CAND-INF;TEXT;C040 ~2.82m;44296.89162561576;12623.15303430079
B1D;S-ID-CAND-INF;TEXT;C041 ~2.56m;44169.51724137931;12623.15303430079
B1F;S-ID-CAND-INF;TEXT;C042 ~1.55m;23012.30541871921;20625.0
B21;S-ID-CAND-INF;TEXT;C043 ~4.94m;26258.71921182266;20644.591029023744
B23;S-ID-CAND-INF;TEXT;C044 ~2.09m;18354.975369458127;20609.762532981527
B25;S-ID-CAND-INF;TEXT;C045 ~5.30m;23756.95566502463;23276.31926121372
B27;S-ID-CAND-INF;TEXT;C046 ~4.13m;23798.433990147783;17370.71240105541
B29;S-ID-CAND-INF;TEXT;C047 ~4.38m;23790.268965517243;17243.370712401054
B2B;S-ID-CAND-INF;TEXT;C048 ~0.56m;22067.33990147783;14765.105540897097
B2D;S-ID-CAND-INF;TEXT;C049 ~0.83m;22022.704433497536;14895.712401055407
B2F;S-ID-CAND-INF;TEXT;C050 ~0.83m;22136.470443349754;14895.712401055409
B31;S-ID-CAND-INF;TEXT;C051 ~4.41m;21617.066009852217;19421.2401055409
B33;S-ID-CAND-INF;TEXT;C052 ~1.20m;19405.324137931035;20008.9709762533
B35;S-ID-CAND-INF;TEXT;C053 ~5.29m;19354.37438423645;23254.551451187333
B37;S-ID-CAND-INF;TEXT;C054 ~4.91m;26280.928078817735;19440.831134564643
B39;S-ID-CAND-INF;TEXT;C055 ~1.37m;32419.720197044335;9649.234828496043
B3B;S-ID-CAND-INF;TEXT;C056 ~3.39m;34803.90738916256;9642.704485488128
B3D;S-ID-CAND-INF;TEXT;C057 ~3.67m;34939.44679802956;9683.519129287599
B3F;S-ID-CAND-INF;TEXT;C058 ~5.79m;28838.86699507389;9645.316622691294
B41;S-ID-CAND-INF;TEXT;C059 ~5.54m;28962.97536945813;9645.316622691294
B43;S-ID-CAND-INF;TEXT;C060 ~1.21m;28733.04827586207;20054.683377308706
B45;S-ID-CAND-INF;TEXT;C061 ~5.02m;28718.02463054187;23169.65699208443
B47;S-ID-CAND-INF;TEXT;C062 ~3.86m;35931.007389162565;19617.150395778364
B49;S-ID-CAND-INF;TEXT;C063 ~5.28m;28682.098522167485;23300.263852242744
B4B;S-ID-CAND-INF;TEXT;C064 ~4.34m;37815.49507389162;21798.284960422163
B4D;S-ID-CAND-INF;TEXT;C065 ~1.20m;37850.332512315275;19029.41952506596
B4F;S-ID-CAND-INF;TEXT;C066 ~2.53m;36500.926108374384;23959.828496042217
B51;S-ID-CAND-INF;TEXT;C067 ~5.03m;40281.33251231527;23979.41952506596
B53;S-ID-CAND-INF;TEXT;C068 ~0.61m;7812.295566502463;1634.2183377308706
B55;S-ID-CAND-INF;TEXT;C069 ~5.28m;10454.497536945813;1343.618073878628
B57;S-ID-CAND-INF;TEXT;C070 ~1.23m;7812.295566502463;713.4399736147757
B59;S-ID-CAND-INF;TEXT;C071 ~5.54m;29002.16748768473;2860.2902374670184
B5B;S-ID-CAND-INF;TEXT;C072 ~2.65m;26226.059113300493;4174.521767810026
B5D;S-ID-CAND-INF;TEXT;C073 ~1.63m;26180.334975369457;10468.139841688655
B5F;S-ID-CAND-INF;TEXT;C074 ~1.81m;26212.995073891623;6407.89907651715
B61;S-ID-CAND-INF;TEXT;C075 ~2.72m;25966.95566502463;4208.806068601583
B63;S-ID-CAND-INF;TEXT;C076 ~5.80m;28871.527093596058;2860.2902374670184
B65;S-ID-CAND-INF;TEXT;C077 ~4.08m;25953.89162561576;7611.114775725595
B67;S-ID-CAND-INF;TEXT;C078 ~0.54m;41004.753694581275;12884.366754617415
B69;S-ID-CAND-INF;TEXT;C079 ~5.30m;41019.45073891625;15803.43007915567
B6B;S-ID-CAND-INF;TEXT;C080 ~0.54m;40694.482758620696;12884.366754617415
B6D;S-ID-CAND-INF;TEXT;C081 ~6.49m;40616.09852216749;16397.69129287599
B6F;S-ID-CAND-INF;TEXT;C082 ~4.50m;38752.839901477826;13145.580474934035
B71;S-ID-CAND-INF;TEXT;C083 ~4.19m;38597.704433497536;13145.580474934035
B73;S-ID-CAND-INF;TEXT;C084 ~0.80m;40694.482758620696;12753.7598944591
B75;S-ID-CAND-INF;TEXT;C085 ~2.67m;39200.28325123152;19636.74142480211
B77;S-ID-CAND-INF;TEXT;C086 ~2.34m;41710.2118226601;19643.271767810023
B79;S-ID-CAND-INF;TEXT;C087 ~5.04m;37825.837438423645;15906.282981530341
B7B;S-ID-CAND-INF;TEXT;C088 ~2.71m;41893.10837438423;19654.699868073876
B7D;S-ID-CAND-INF;TEXT;C089 ~4.09m;42876.993842364536;21687.269129287597
B7F;S-ID-CAND-INF;TEXT;C090 ~2.53m;44134.407635467986;23744.327176781
B81;S-ID-CAND-INF;TEXT;C091 ~0.58m;8485.093596059112;10557.387862796833
B83;S-ID-CAND-INF;TEXT;C092 ~1.85m;41958.42857142857;18454.74934036939
B85;S-ID-CAND-INF;TEXT;C093 ~1.27m;33362.29064039409;18402.50659630607
B87;S-ID-CAND-INF;TEXT;C094 ~3.20m;39435.98029556651;18441.68865435356
B89;S-ID-CAND-INF;TEXT;C095 ~4.35m;42838.618226600986;21817.875989445907
B8B;S-ID-CAND-INF;TEXT;C096 ~0.75m;36128.60098522167;13402.168535620054
B8D;S-ID-CAND-INF;TEXT;C097 ~1.23m;35886.91625615763;13402.168535620054
B8F;S-ID-CAND-INF;TEXT;C098 ~1.06m;37281.50246305419;13383.121701846965
B91;S-ID-CAND-INF;TEXT;C099 ~1.08m;36755.67487684729;12842.735817941953
B93;S-ID-CAND-INF;TEXT;C100 ~1.13m;36773.63793103448;10273.862137203167
B95;S-ID-CAND-INF;TEXT;C101 ~1.92m;36772.00492610838;8749.02704485488
B97;S-ID-CAND-INF;TEXT;C102 ~0.99m;36252.70935960591;13402.168535620054
B99;S-ID-CAND-INF;TEXT;C103 ~1.20m;33999.162561576355;19003.298153034302
B9B;S-ID-CAND-INF;TEXT;C104 ~1.92m;37350.08866995074;6512.384564643799
B9D;S-ID-CAND-INF;TEXT;C105 ~2.19m;37356.620689655174;6647.344986807388
B9F;S-ID-CAND-INF;TEXT;C106 ~0.82m;22067.33990147783;14634.498680738785
BA1;S-ID-CAND-INF;TEXT;C107 ~1.80m;22875.67733990148;15307.12401055409
BA3;S-ID-CAND-INF;TEXT;C108 ~1.57m;22989.443349753696;15307.12401055409
BA5;S-ID-CAND-INF;TEXT;C109 ~2.12m;24833.10591133005;15313.654353562004
BA7;S-ID-CAND-INF;TEXT;C110 ~2.38m;24963.746305418717;15313.654353562004
BA9;S-ID-CAND-INF;TEXT;C111 ~1.69m;22912.147783251232;15049.175461741426
BAB;S-ID-CAND-INF;TEXT;C112 ~2.14m;24824.940886699507;15055.705804749341
BAD;S-ID-CAND-INF;TEXT;C113 ~2.40m;24955.581280788178;15055.705804749341
BAF;S-ID-CAND-INF;TEXT;C114 ~2.95m;25966.95566502463;4097.790237467019
BB1;S-ID-CAND-INF;TEXT;C115 ~5.28m;10454.497536945813;1939.5118733509235
BB3;S-ID-CAND-INF;TEXT;C116 ~0.58m;13096.699507389163;1648.9116094986807
BB5;S-ID-CAND-INF;TEXT;C117 ~2.85m;13086.901477832513;4187.582453825858
BB7;S-ID-CAND-INF;TEXT;C118 ~0.82m;13096.699507389163;2350.923482849604
BB9;S-ID-CAND-INF;TEXT;C119 ~4.91m;26180.334975369457;25931.99208443272
BBB;S-ID-CAND-INF;TEXT;C120 ~4.42m;21516.472906403942;25912.40105540897
BBD;S-ID-CAND-INF;TEXT;C121 ~4.10m;33185.926108374384;23692.08443271768
BBF;S-ID-CAND-INF;TEXT;C122 ~5.53m;28933.581280788174;11297.49340369393
BC1;S-ID-CAND-INF;TEXT;C123 ~1.39m;32392.285714285714;11323.614775725593
BC3;S-ID-CAND-INF;TEXT;C124 ~1.27m;33721.55172413793;11335.042875989446
BC5;S-ID-CAND-INF;TEXT;C125 ~3.77m;26160.73891625616;13171.7018469657
BC7;S-ID-CAND-INF;TEXT;C126 ~4.04m;26160.73891625616;13302.308707124012
BC9;S-ID-CAND-INF;TEXT;C127 ~1.37m;32418.41379310345;10814.248021108178
BCB;S-ID-CAND-INF;TEXT;C128 ~1.26m;33734.6157635468;10827.30870712401
BCD;S-ID-CAND-INF;TEXT;C129 ~2.14m;35432.94088669951;10833.839050131926
BCF;S-ID-CAND-INF;TEXT;C130 ~2.41m;35570.11330049261;10833.839050131926
BD1;S-ID-CAND-INF;TEXT;C131 ~5.32m;22220.29802955665;17964.973614775725
BD3;S-ID-CAND-INF;TEXT;C132 ~1.47m;7812.295566502463;832.6187335092349
BD5;S-ID-CAND-INF;TEXT;C133 ~1.21m;33762.37684729064;7379.287598944591
BD7;S-ID-CAND-INF;TEXT;C134 ~0.82m;36928.773399014775;7447.8562005277045
BD9;S-ID-CAND-INF;TEXT;C135 ~3.45m;34364.95566502463;9103.2981530343
BDB;S-ID-CAND-INF;TEXT;C136 ~0.51m;34361.68965517241;11080.359498680737
BDD;S-ID-CAND-INF;TEXT;C137 ~6.95m;29683.13054187192;7346.6358839050135
BDF;S-ID-CAND-INF;TEXT;C138 ~1.09m;37065.94581280788;7447.8562005277045
BE1;S-ID-CAND-INF;TEXT;C139 ~2.95m;34364.95566502463;9351.451187335091
BE3;S-ID-CAND-INF;TEXT;C140 ~5.41m;25919.054187192116;12355.408970976254
BE5;S-ID-CAND-INF;TEXT;C141 ~5.67m;25919.054187192116;12486.015831134566
BE6;S-CHECK-VER;TEXT;v0.7: NODI/CONNESSIONI CANDIDATI RICAVATI DAL RASTER. NON SONO PILASTRI/TRAVI DOC FINCHE' NON VALIDATI CON QUOTE.;1800.0;1500.0
BEC;S-PREDOC-ID;TEXT;N001 P10;33234.7;12330.4
BEE;S-PREDOC-ID;TEXT;N002 P10;36650.9;12353.9
BF0;S-PREDOC-ID;TEXT;N003 P8;23926.6;25771.2
BF2;S-PREDOC-ID;TEXT;N004 P8;31680.1;23799.0
BF4;S-PREDOC-ID;TEXT;N005 P8;36660.7;7959.7
BF6;S-PREDOC-ID;TEXT;N006 P8;33309.8;5656.1
BF8;S-PREDOC-ID;TEXT;N007 P8;31925.0;5656.1
BFA;S-PREDOC-ID;TEXT;N008 P8;31859.7;12271.3
BFC;S-PREDOC-ID;TEXT;N009 P7;8635.1;10663.7
BFE;S-PREDOC-ID;TEXT;N010 P6;43039.2;12736.6
C00;S-PREDOC-ID;TEXT;N011 P6;23939.6;20747.2
C02;S-PREDOC-ID;TEXT;N012 P6;22217.3;14604.3
C04;S-PREDOC-ID;TEXT;N013 P6;37761.4;7860.6
C06;S-PREDOC-ID;TEXT;N014 P5;19560.5;19528.2
C08;S-PREDOC-ID;TEXT;N015 P5;23973.6;19554.3
C0A;S-PREDOC-ID;TEXT;N016 P5;33256.9;9779.7
C0C;S-PREDOC-ID;TEXT;N017 P5;28888.3;19567.4
C0E;S-PREDOC-ID;TEXT;N018 P4;28858.2;25797.3
C10;S-PREDOC-ID;TEXT;N019 P4;37918.1;24086.4
C12;S-PREDOC-ID;TEXT;N020 P4;7962.3;1448.9
C14;S-PREDOC-ID;TEXT;N021 P4;26382.6;2967.2
C16;S-PREDOC-ID;TEXT;N022 P4;26121.3;2967.2
C18;S-PREDOC-ID;TEXT;N023 P4;32614.1;25052.8
C1A;S-PREDOC-ID;TEXT;N024 P4;41154.8;12736.6
C1C;S-PREDOC-ID;TEXT;N025 P4;40844.5;12736.6
C1E;S-PREDOC-ID;TEXT;N026 P4;41154.8;13272.1
C20;S-PREDOC-ID;TEXT;N027 P4;40844.5;13272.1
C22;S-PREDOC-ID;TEXT;N028 P4;38012.9;19750.2
C24;S-PREDOC-ID;TEXT;N029 P4;43021.3;23851.3
C26;S-PREDOC-ID;TEXT;N030 P4;8635.1;9517.2
C28;S-PREDOC-ID;TEXT;N031 P4;43032.7;18574.7
C2A;S-PREDOC-ID;TEXT;N032 P4;8635.1;10385.7
C2C;S-PREDOC-ID;TEXT;N033 P4;36650.9;13502.3
C2E;S-PREDOC-ID;TEXT;N034 P4;36899.1;13502.3
C30;S-PREDOC-ID;TEXT;N035 P4;28877.8;20782.0
C32;S-PREDOC-ID;TEXT;N036 P4;19550.1;20729.8
C34;S-PREDOC-ID;TEXT;N037 P4;8635.1;9234.7
C36;S-PREDOC-ID;TEXT;N038 P4;21953.9;14604.3
C38;S-PREDOC-ID;TEXT;N039 P4;43032.7;19763.3
C3A;S-PREDOC-ID;TEXT;N040 P4;34149.2;19724.1
C3C;S-PREDOC-ID;TEXT;N041 P4;34149.2;18522.5
C3E;S-PREDOC-ID;TEXT;N042 P4;36650.9;9745.7
C40;S-PREDOC-ID;TEXT;N043 P4;36922.0;9827.4
C42;S-PREDOC-ID;TEXT;N044 P4;37513.2;5674.1
C44;S-PREDOC-ID;TEXT;N045 P4;36922.0;7910.7
C46;S-PREDOC-ID;TEXT;N046 P3;22217.3;14343.1
C48;S-PREDOC-ID;TEXT;N047 P3;37987.8;18548.6
C4A;S-PREDOC-ID;TEXT;N048 P3;8635.1;9776.2
C4C;S-PREDOC-ID;TEXT;N049 P3;31882.6;9758.8
C4E;S-PREDOC-ID;TEXT;N050 P3;35906.3;13542.0
C50;S-PREDOC-ID;TEXT;N051 P3;35422.9;13542.0
C52;S-PREDOC-ID;TEXT;N052 P3;22128.1;15427.1
C54;S-PREDOC-ID;TEXT;N053 P3;22217.3;15165.9
C56;S-PREDOC-ID;TEXT;N054 P3;8635.1;8705.2
C58;S-PREDOC-ID;TEXT;N055 P3;8635.1;10969.1
C5A;S-PREDOC-ID;TEXT;N056 P3;37500.1;7860.6
C5C;S-PREDOC-ID;TEXT;N057 P3;26112.6;5690.4
C5E;S-PREDOC-ID;TEXT;C001 1.38m*;32397.199999999997;12180.849999999999
C62;S-PREDOC-ID;TEXT;C002 3.42m*;34792.8;12222.15
C66;S-PREDOC-ID;TEXT;C010 1.79m*;36505.8;8732.7
C6A;S-PREDOC-ID;TEXT;C011 1.15m*;36500.9;12808.099999999999
C6E;S-PREDOC-ID;TEXT;C015 5.02m*;23783.1;23139.2
C72;S-PREDOC-ID;TEXT;C016 1.19m*;23806.6;20030.75
C76;S-PREDOC-ID;TEXT;C020 0.85m*;36930.399999999994;7790.15
C7A;S-PREDOC-ID;TEXT;C021 0.84m*;37191.7;7765.65
C7E;S-PREDOC-ID;TEXT;C024 1.38m*;32467.4;5536.1
C82;S-PREDOC-ID;TEXT;C025 4.20m*;35261.5;5545.1
C86;S-PREDOC-ID;TEXT;C026 5.81m*;28868.8;5553.25
C8A;S-PREDOC-ID;TEXT;C032 0.89m*;8485.1;10099.95
C8E;S-PREDOC-ID;TEXT;C033 0.81m*;8485.1;8991.2
C92;S-PREDOC-ID;TEXT;C036 1.88m*;41947.0;12616.6
C96;S-PREDOC-ID;TEXT;C037 2.19m*;41791.85;12616.6
C9A;S-PREDOC-ID;TEXT;C038 5.84m*;42885.95;15535.650000000001
C9E;S-PREDOC-ID;TEXT;C039 1.19m*;42882.7;19049.0
CA2;S-PREDOC-ID;TEXT;C043 4.94m*;26258.699999999997;20644.6
CA6;S-PREDOC-ID;TEXT;C049 0.83m*;22022.699999999997;14895.7
CAA;S-PREDOC-ID;TEXT;C051 4.41m*;21617.05;19421.25
CAE;S-PREDOC-ID;TEXT;C052 1.20m*;19405.3;20009.0
CB2;S-PREDOC-ID;TEXT;C054 4.91m*;26280.949999999997;19440.85
CB6;S-PREDOC-ID;TEXT;C055 1.37m*;32419.75;9649.25
CBA;S-PREDOC-ID;TEXT;C056 3.39m*;34803.9;9642.7
CBE;S-PREDOC-ID;TEXT;C057 3.67m*;34939.45;9683.55
CC2;S-PREDOC-ID;TEXT;C060 1.21m*;28733.05;20054.7
CC6;S-PREDOC-ID;TEXT;C061 5.02m*;28718.0;23169.65
CCA;S-PREDOC-ID;TEXT;C062 3.86m*;35931.05;19617.15
CCE;S-PREDOC-ID;TEXT;C064 4.34m*;37815.5;21798.300000000003
CD2;S-PREDOC-ID;TEXT;C065 1.20m*;37850.350000000006;19029.4
CD6;S-PREDOC-ID;TEXT;C075 2.72m*;25966.949999999997;4208.799999999999
CDA;S-PREDOC-ID;TEXT;C089 4.09m*;42877.0;21687.3
CDE;S-PREDOC-ID;TEXT;C097 1.23m*;35886.9;13402.15
CE2;S-PREDOC-ID;TEXT;C101 1.92m*;36772.0;8749.05
CE6;S-PREDOC-ID;TEXT;C102 0.99m*;36252.7;13402.15
CEA;S-PREDOC-ID;TEXT;C103 1.20m*;33999.2;19003.3
CEE;S-PREDOC-ID;TEXT;C105 2.19m*;37356.649999999994;6647.35
CF2;S-PREDOC-ID;TEXT;C106 0.82m*;22067.3;14634.5
CF5;S-CHECK-VER;TEXT;PRE-DOC = EVIDENZA GRAFICA ROBUSTA, MA MISURA ANCORA DA CONFERMARE CON QUOTA ORIGINALE. * = LUNGHEZZA GRAFICA.;1800.0;1850.0
CF9;S-METRIC-TEXT-INF;TEXT;G01 0.81m*;8485.1;8991.2
CFB;S-METRIC-TEXT-INF;TEXT;G01 0.82m*;22067.3;14634.5
CFD;S-METRIC-TEXT-INF;TEXT;G01 0.83m*;22022.699999999997;14895.7
CFF;S-METRIC-TEXT-INF;TEXT;G01 0.84m*;37191.7;7765.65
D01;S-METRIC-TEXT-INF;TEXT;G01 0.85m*;36930.399999999994;7790.15
D03;S-METRIC-TEXT-INF;TEXT;G01 0.89m*;8485.1;10099.95
D05;S-METRIC-TEXT-INF;TEXT;G03 1.15m*;36500.9;12808.099999999999
D07;S-METRIC-TEXT-INF;TEXT;G03 1.19m*;42882.7;19049.0
D09;S-METRIC-TEXT-INF;TEXT;G03 1.19m*;23806.6;20030.75
D0B;S-METRIC-TEXT-INF;TEXT;G03 1.20m*;19405.3;20009.0
D0D;S-METRIC-TEXT-INF;TEXT;G03 1.20m*;33999.2;19003.3
D0F;S-METRIC-TEXT-INF;TEXT;G03 1.20m*;37850.350000000006;19029.4
D11;S-METRIC-TEXT-INF;TEXT;G03 1.21m*;28733.05;20054.7
D13;S-METRIC-TEXT-INF;TEXT;G03 1.23m*;35886.9;13402.15
D15;S-METRIC-TEXT-INF;TEXT;G04 1.37m*;32419.75;9649.25
D17;S-METRIC-TEXT-INF;TEXT;G04 1.38m*;32397.199999999997;12180.849999999999
D19;S-METRIC-TEXT-INF;TEXT;G04 1.38m*;32467.4;5536.1
D1B;S-METRIC-TEXT-INF;TEXT;G05 1.79m*;36505.8;8732.7
D1D;S-METRIC-TEXT-INF;TEXT;G05 1.88m*;41947.0;12616.6
D1F;S-METRIC-TEXT-INF;TEXT;G05 1.92m*;36772.0;8749.05
D21;S-METRIC-TEXT-INF;TEXT;G06 2.19m*;37356.649999999994;6647.35
D23;S-METRIC-TEXT-INF;TEXT;G06 2.19m*;41791.85;12616.6
D25;S-METRIC-TEXT-INF;TEXT;G08 3.39m*;34803.9;9642.7
D27;S-METRIC-TEXT-INF;TEXT;G08 3.42m*;34792.8;12222.15
D29;S-METRIC-TEXT-INF;TEXT;G11 4.09m*;42877.0;21687.3
D2B;S-METRIC-TEXT-INF;TEXT;G11 4.20m*;35261.5;5545.1
D2D;S-METRIC-TEXT-INF;TEXT;G12 4.34m*;37815.5;21798.300000000003
D2F;S-METRIC-TEXT-INF;TEXT;G12 4.41m*;21617.05;19421.25
D31;S-METRIC-TEXT-INF;TEXT;G13 4.91m*;26280.949999999997;19440.85
D33;S-METRIC-TEXT-INF;TEXT;G13 4.94m*;26258.699999999997;20644.6
D35;S-METRIC-TEXT-INF;TEXT;G13 5.02m*;28718.0;23169.65
D37;S-METRIC-TEXT-INF;TEXT;G13 5.02m*;23783.1;23139.2
D39;S-METRIC-TEXT-INF;TEXT;G14 5.81m*;28868.8;5553.25
D3B;S-METRIC-TEXT-INF;TEXT;G14 5.84m*;42885.95;15535.650000000001
