canonicalNodeId;aliases;x_mm;y_mm;dxf_handle;topologicalRole;pilAssociation;elementIds;incidentConnections;evidenceRefs;epistemicStatus;resolutionRule;blockingResiduals
N046;N046;22067.3;14223.1;A3E;TERM;;;;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N047;N047;37837.8;18428.6;A40;TERM;;P?047;N028|N080|N085;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N048;N048;8485.1;9656.2;A42;TERM;;P?030|P?048;N009|N037;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N049;N049;31732.6;9638.8;A44;TERM;;P?049;N016|N072|N111|N112;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N050;N050;35756.3;13422.0;A46;TERM;;P?050|T?033;N033|N034;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N051;N051;35272.9;13422.0;A48;TERM;;P?051;N033;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N054;N054;8485.1;8585.2;A4E;TERM;;P?054;N030|N037;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N055;N055;8485.1;10849.1;A50;CROSS;;P?009|P?055;N032;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N056;N056;37350.1;7740.6;A52;LINE;;P?013|P?056|T?008;N005|N044|N045;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N057;N057;25962.6;5570.4;A54;LINE;;P?057;N007|N022|N111;TAV5_CARPENTERIA.dxf;INF;SINGLE_ID;
N058;N058;13096.7;1939.5;A56;;;;N059|N073|N095;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N059;N059;7812.3;1939.5;A58;;;;N058;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N060;N060;16042.6;13243.5;A5A;;;;;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N061;N061;28636.4;25938.5;A5C;;;P?018;N035|N062;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N062;N062;23724.3;25925.5;A5E;;;P?003;N011|N061|N094;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N063;N063;27356.1;25664.2;A60;;;;N003|N018;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N064;N064;35233.7;23953.3;A62;;;;N019;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N066;N066;35233.7;23692.1;A66;;;;N004|N067;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N067;N067;31138.1;23692.1;A68;;;P?004;N066;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N068;N068;45057.9;25011.2;A6A;;;;;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N069;N069;31771.7;2873.4;A6C;;;;N007|N021|N022;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N070;N070;26167.3;11284.4;A6E;;;;N071|N101|N104|N112;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N071;N071;31699.9;11310.6;A70;;;;N008|N070|N072|N093;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N072;N072;31732.6;10801.2;A72;;;;N049|N071|N089;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N073;N073;13096.7;1358.3;A74;;;;N058;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N074;N074;45704.5;12629.7;A76;;;;N010;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N075;N075;45449.8;12629.7;A78;;;;N010;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N076;N076;13077.1;5612.8;A7A;;;;N095;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N077;N077;36500.9;13139.1;A7C;;;T?004;N026|N027;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N078;N078;40537.7;19643.3;A7E;;;;N027|N028|N039|N106;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N079;N079;22235.0;20622.8;A80;;;;N011|N052;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N080;N080;41034.1;18454.7;A82;;;;N026|N031|N047;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N081;N081;7812.3;98.0;A84;;;;N020;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N082;N082;34365.0;7379.3;A86;;;;N083|N086;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N083;N083;33159.8;7379.3;A88;;;;N006|N082|N096;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N084;N084;36520.5;7425.0;A8A;;;;N114|N115;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N085;N085;37813.9;13383.9;A8C;;;;N034|N047;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N086;N086;34365.0;10827.3;A8E;;;;N082|N087|N088|N089|N091|N092;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N087;N087;36500.9;10840.4;A90;;;;N086;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N088;N088;36775.3;10840.4;A92;;;;N042|N086;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N089;N089;33104.3;10827.3;A94;;;;N016|N072|N086|N093;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N090;N090;40694.5;12355.4;A96;;;;N002|N027|N116;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N091;N091;34365.0;7875.6;A98;;;;N005|N086;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N092;N092;34358.4;11333.4;A9A;;;;N086|N093;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N093;N093;33084.7;11336.7;A9C;;;;N001|N071|N089|N092;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N094;N094;19308.7;25899.3;A9E;;;;N036|N062;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N095;N095;13096.7;2762.3;AA0;;;;N058|N076;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N096;N096;26206.5;7314.0;AA2;;;;N083|N113;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N052;N052|N052|N053|N097;22205.6;15307.1;AA4;;;;N012|N079|N098;TAV5_CARPENTERIA.dxf;INF;SAME_PHYSICAL_NODE_WITH_ALIASES;
N098;N098;23773.3;15307.1;AA6;;;;N015|N052|N103|N104;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N099;N099;23757.0;15052.4;AA8;;;;N015|N100|N101;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N100;N100;25892.9;15059.0;AAA;;;;N099|N111;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N101;N101;26154.2;15059.0;AAC;;;;N070|N099;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N102;N102;42794.5;23992.5;AAE;;;P?029;N019|N039;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N103;N103;25892.9;15320.2;AB0;;;;N098|N111;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N104;N104;26154.2;15320.2;AB2;;;;N070|N098;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N105;N105;45397.5;23757.4;AB4;;;;N029;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N106;N106;43248.5;19666.1;AB6;;A22/N039/EN;;N078;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N020;N020|N020|N107;7812.3;1567.3;AB8;;;P?020;N081;TAV5_CARPENTERIA.dxf;INF;SAME_PHYSICAL_NODE_WITH_ALIASES;
N108;N108;17309.9;20609.8;ABA;;;;N036;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N109;N109;32725.4;18402.5;ABC;;;;N041;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N002;N002|N002|N110;36762.2;12303.2;ABE;;A02/N002/ES;;N001|N034|N090;TAV5_CARPENTERIA.dxf;INF;SAME_PHYSICAL_NODE_WITH_ALIASES;
N111;N111;25945.2;9651.8;AC0;;;;N049|N057|N100|N103;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N112;N112;26193.4;9651.8;AC2;;;;N049|N070;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N113;N113;26219.5;5501.8;AC4;;;;N007|N021|N096;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N114;N114;37337.0;7470.7;AC6;;;;N044|N084;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N115;N115;37611.4;7470.7;AC8;;;;N084;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
N116;N116;45449.8;12368.5;ACA;;;;N090;TAV5_CARPENTERIA.dxf;INC;SINGLE_ID;
