dxf_index;node_id;x_mm;y_mm;topo_class;pil_assoc;elem_id;evidence_status;source
A66;N066;35233.7;23692.1;;;;INC;TAV5_CARPENTERIA.dxf
A68;N067;31138.1;23692.1;;;P?004;INC;TAV5_CARPENTERIA.dxf
A6A;N068;45057.9;25011.2;;;;INC;TAV5_CARPENTERIA.dxf
A6C;N069;31771.7;2873.4;;;;INC;TAV5_CARPENTERIA.dxf
A6E;N070;26167.3;11284.4;;;;INC;TAV5_CARPENTERIA.dxf
A70;N071;31699.9;11310.6;;;;INC;TAV5_CARPENTERIA.dxf
A72;N072;31732.6;10801.2;;;;INC;TAV5_CARPENTERIA.dxf
A74;N073;13096.7;1358.3;;;;INC;TAV5_CARPENTERIA.dxf
A76;N074;45704.5;12629.7;;;;INC;TAV5_CARPENTERIA.dxf
A78;N075;45449.8;12629.7;;;;INC;TAV5_CARPENTERIA.dxf
A7A;N076;13077.1;5612.8;;;;INC;TAV5_CARPENTERIA.dxf
A7C;N077;36500.9;13139.1;;;T?004;INC;TAV5_CARPENTERIA.dxf
A7E;N078;40537.7;19643.3;;;;INC;TAV5_CARPENTERIA.dxf
A80;N079;22235.0;20622.8;;;;INC;TAV5_CARPENTERIA.dxf
A82;N080;41034.1;18454.7;;;;INC;TAV5_CARPENTERIA.dxf
A84;N081;7812.3;98.0;;;;INC;TAV5_CARPENTERIA.dxf
A86;N082;34365.0;7379.3;;;;INC;TAV5_CARPENTERIA.dxf
A88;N083;33159.8;7379.3;;;;INC;TAV5_CARPENTERIA.dxf
A8A;N084;36520.5;7425.0;;;;INC;TAV5_CARPENTERIA.dxf
A8C;N085;37813.9;13383.9;;;;INC;TAV5_CARPENTERIA.dxf
A8E;N086;34365.0;10827.3;;;;INC;TAV5_CARPENTERIA.dxf
A90;N087;36500.9;10840.4;;;;INC;TAV5_CARPENTERIA.dxf
A92;N088;36775.3;10840.4;;;;INC;TAV5_CARPENTERIA.dxf
A94;N089;33104.3;10827.3;;;;INC;TAV5_CARPENTERIA.dxf
A96;N090;40694.5;12355.4;;;;INC;TAV5_CARPENTERIA.dxf
A98;N091;34365.0;7875.6;;;;INC;TAV5_CARPENTERIA.dxf
A9A;N092;34358.4;11333.4;;;;INC;TAV5_CARPENTERIA.dxf
A9C;N093;33084.7;11336.7;;;;INC;TAV5_CARPENTERIA.dxf
A9E;N094;19308.7;25899.3;;;;INC;TAV5_CARPENTERIA.dxf
AA0;N095;13096.7;2762.3;;;;INC;TAV5_CARPENTERIA.dxf
AA2;N096;26206.5;7314.0;;;;INC;TAV5_CARPENTERIA.dxf
AA4;N052;22205.6;15307.1;;;;INF;TAV5_CARPENTERIA.dxf
AA6;N098;23773.3;15307.1;;;;INC;TAV5_CARPENTERIA.dxf
AA8;N099;23757.0;15052.4;;;;INC;TAV5_CARPENTERIA.dxf
AAA;N100;25892.9;15059.0;;;;INC;TAV5_CARPENTERIA.dxf
AAC;N101;26154.2;15059.0;;;;INC;TAV5_CARPENTERIA.dxf
AAE;N102;42794.5;23992.5;;;P?029;INC;TAV5_CARPENTERIA.dxf
AB0;N103;25892.9;15320.2;;;;INC;TAV5_CARPENTERIA.dxf
